,acct_id,bin,number,cent_latitude,cent_longitude,target,calle,resultado_inspeccion
238,395,1000003,10,40.701047,-74.011672,6,1,1
239,416,1000003,10,40.701047,-74.011672,3,1,2
240,422,1000003,10,40.701047,-74.011672,3,1,2
241,424,1000003,10,40.701047,-74.011672,12,1,2
242,425,1000003,10,40.701047,-74.011672,12,1,1
243,426,1000003,10,40.701047,-74.011672,13,1,1
244,427,1000003,10,40.701047,-74.011672,12,1,2
245,428,1000003,10,40.701047,-74.011672,13,1,1
246,429,1000003,10,40.701047,-74.011672,12,1,2
247,430,1000003,10,40.701047,-74.011672,13,1,1
248,431,1000003,10,40.701047,-74.011672,12,1,2
249,432,1000003,10,40.701047,-74.011672,4,1,2
250,433,1000003,10,40.701047,-74.011672,11,1,2
251,434,1000003,10,40.701047,-74.011672,11,1,2
252,435,1000003,10,40.701047,-74.011672,11,1,2
253,436,1000003,10,40.701047,-74.011672,11,1,2
255,438,1000003,10,40.701047,-74.011672,11,1,2
256,439,1000003,10,40.701047,-74.011672,11,1,2
257,440,1000003,10,40.701047,-74.011672,12,1,2
258,441,1000003,10,40.701047,-74.011672,11,1,2
259,442,1000003,10,40.701047,-74.011672,11,1,2
260,443,1000003,10,40.701047,-74.011672,11,1,2
261,444,1000003,10,40.701047,-74.011672,11,1,2
262,445,1000003,10,40.701047,-74.011672,11,1,2
263,446,1000003,10,40.701047,-74.011672,11,1,2
264,447,1000003,10,40.701047,-74.011672,11,1,2
265,448,1000003,10,40.701047,-74.011672,11,1,2
266,449,1000003,10,40.701047,-74.011672,11,1,2
267,450,1000003,10,40.701047,-74.011672,11,1,2
268,451,1000003,10,40.701047,-74.011672,11,1,2
269,452,1000003,10,40.701047,-74.011672,11,1,2
270,453,1000003,10,40.701047,-74.011672,11,1,2
271,454,1000003,10,40.701047,-74.011672,11,1,2
272,455,1000003,10,40.701047,-74.011672,11,1,2
273,456,1000003,10,40.701047,-74.011672,11,1,2
274,457,1000003,10,40.701047,-74.011672,11,1,2
275,458,1000003,10,40.701047,-74.011672,11,1,2
276,459,1000003,10,40.701047,-74.011672,11,1,2
277,460,1000003,10,40.701047,-74.011672,11,1,2
278,461,1000003,10,40.701047,-74.011672,3,1,2
279,462,1000003,10,40.701047,-74.011672,11,1,2
280,463,1000003,10,40.701047,-74.011672,11,1,2
281,464,1000003,10,40.701047,-74.011672,4,1,2
282,465,1000003,10,40.701047,-74.011672,11,1,2
283,466,1000003,10,40.701047,-74.011672,11,1,2
284,467,1000003,10,40.701047,-74.011672,3,1,2
285,470,1000005,1,40.702091,-74.012045,11,2,2
286,481,1000005,1,40.702091,-74.012045,5,2,2
287,484,1000005,1,40.702091,-74.012045,5,2,2
288,510,1000005,1,40.702091,-74.012045,7,2,2
289,516,1000005,1,40.702091,-74.012045,13,2,1
290,518,1000005,1,40.702091,-74.012045,6,2,3
291,528,1000005,1,40.702091,-74.012045,4,2,2
292,530,1000005,1,40.702091,-74.012045,2,2,2
293,531,1000005,1,40.702091,-74.012045,6,2,2
294,537,1000005,1,40.702091,-74.012045,6,2,2
295,541,1000005,1,40.702091,-74.012045,3,2,2
296,542,1000005,13,40.702091,-74.012045,11,1,2
297,543,1000005,1,40.702091,-74.012045,5,2,2
298,544,1000005,1,40.702091,-74.012045,10,2,2
299,546,1000005,1,40.702091,-74.012045,9,2,2
300,550,1000005,1,40.702091,-74.012045,12,2,2
301,583,1000005,1,40.702091,-74.012045,6,2,2
302,592,1000005,1,40.702091,-74.012045,4,2,2
303,593,1000005,1,40.702091,-74.012045,5,2,2
304,598,1000005,1,40.702091,-74.012045,11,2,1
305,601,1000005,1,40.702091,-74.012045,6,2,3
306,602,1000005,1,40.702091,-74.012045,2,2,2
307,606,1000005,1,40.702091,-74.012045,2,2,2
308,625,1000005,1,40.702091,-74.012045,6,2,2
309,630,1000005,1,40.702091,-74.012045,13,2,1
310,631,1000005,1,40.702091,-74.012045,6,2,2
311,632,1000005,1,40.702091,-74.012045,13,2,1
312,633,1000005,1,40.702091,-74.012045,13,2,1
313,634,1000005,1,40.702091,-74.012045,6,2,2
314,635,1000005,1,40.702091,-74.012045,3,2,2
315,636,1000005,1,40.702091,-74.012045,6,2,2
316,637,1000005,1,40.702091,-74.012045,6,2,2
317,638,1000005,1,40.702091,-74.012045,13,2,1
318,639,1000005,1,40.702091,-74.012045,13,2,1
319,640,1000005,1,40.702091,-74.012045,12,2,2
320,641,1000005,1,40.702091,-74.012045,13,2,1
321,642,1000005,1,40.702091,-74.012045,6,2,2
322,643,1000005,1,40.702091,-74.012045,13,2,1
323,644,1000005,1,40.702091,-74.012045,13,2,1
324,645,1000005,1,40.702091,-74.012045,6,2,2
325,646,1000005,1,40.702091,-74.012045,6,2,2
326,647,1000005,1,40.702091,-74.012045,7,2,2
327,648,1000005,1,40.702091,-74.012045,2,2,2
328,649,1000005,1,40.702091,-74.012045,6,2,2
329,650,1000005,1,40.702091,-74.012045,6,2,2
330,651,1000005,1,40.702091,-74.012045,13,2,1
331,652,1000005,1,40.702091,-74.012045,6,2,2
332,653,1000005,1,40.702091,-74.012045,13,2,1
333,654,1000005,1,40.702091,-74.012045,13,2,1
334,655,1000005,1,40.702091,-74.012045,6,2,2
335,656,1000005,1,40.702091,-74.012045,2,2,2
336,657,1000005,1,40.702091,-74.012045,2,2,2
337,658,1000005,1,40.702091,-74.012045,13,2,1
338,659,1000005,1,40.702091,-74.012045,13,3,1
339,660,1000005,1,40.702091,-74.012045,6,2,2
340,661,1000005,1,40.702091,-74.012045,13,2,1
341,662,1000005,1,40.702091,-74.012045,2,2,2
342,663,1000005,1,40.702091,-74.012045,6,2,2
343,664,1000005,1,40.702091,-74.012045,13,2,1
344,665,1000005,1,40.702091,-74.012045,6,2,2
345,666,1000005,1,40.702091,-74.012045,6,2,2
346,667,1000005,1,40.702091,-74.012045,6,2,2
347,668,1000005,1,40.702091,-74.012045,13,2,1
348,669,1000005,1,40.702091,-74.012045,7,2,2
349,670,1000005,1,40.702091,-74.012045,7,2,2
350,671,1000005,1,40.702091,-74.012045,7,2,2
351,672,1000005,1,40.702091,-74.012045,13,2,1
352,673,1000005,1,40.702091,-74.012045,13,2,1
353,674,1000005,1,40.702091,-74.012045,13,2,1
354,675,1000005,1,40.702091,-74.012045,13,2,1
355,676,1000005,1,40.702091,-74.012045,13,2,1
356,677,1000005,1,40.702091,-74.012045,7,2,2
357,678,1000005,1,40.702091,-74.012045,6,2,2
358,679,1000005,1,40.702091,-74.012045,6,2,3
359,680,1000005,1,40.702091,-74.012045,13,2,1
360,681,1000005,1,40.702091,-74.012045,13,2,1
361,682,1000005,1,40.702091,-74.012045,4,2,2
362,683,1000005,1,40.702091,-74.012045,13,2,1
363,684,1000005,1,40.702091,-74.012045,13,2,1
364,685,1000005,1,40.702091,-74.012045,13,2,1
365,686,1000005,1,40.702091,-74.012045,13,2,1
366,687,1000005,1,40.702091,-74.012045,13,2,1
367,688,1000005,1,40.702091,-74.012045,13,2,1
368,689,1000005,1,40.702091,-74.012045,13,2,1
369,690,1000005,1,40.702091,-74.012045,13,2,1
370,691,1000005,1,40.702091,-74.012045,13,2,1
371,692,1000005,1,40.702091,-74.012045,2,2,3
372,693,1000005,1,40.702091,-74.012045,7,2,2
373,694,1000005,1,40.702091,-74.012045,7,2,2
374,695,1000005,1,40.702091,-74.012045,7,2,2
375,696,1000005,1,40.702091,-74.012045,13,2,1
376,697,1000005,1,40.702091,-74.012045,13,2,1
377,698,1000005,1,40.702091,-74.012045,2,2,3
378,699,1000005,1,40.702091,-74.012045,13,3,1
379,700,1000005,1,40.702091,-74.012045,13,2,1
380,701,1000005,1,40.702091,-74.012045,6,2,2
381,702,1000005,1,40.702091,-74.012045,6,2,2
382,703,1000005,1,40.702091,-74.012045,6,2,2
383,704,1000005,1,40.702091,-74.012045,13,4,1
384,705,1000005,1,40.702091,-74.012045,13,2,1
385,706,1000005,1,40.702091,-74.012045,13,2,1
386,707,1000005,1,40.702091,-74.012045,13,2,1
387,708,1000005,1,40.702091,-74.012045,11,2,2
388,709,1000005,1,40.702091,-74.012045,6,2,2
389,710,1000005,1,40.702091,-74.012045,2,2,3
390,711,1000005,1,40.702091,-74.012045,3,2,2
391,712,1000005,1,40.702091,-74.012045,6,2,2
392,713,1000005,1,40.702091,-74.012045,13,2,1
393,714,1000005,1,40.702091,-74.012045,13,2,1
394,715,1000005,1,40.702091,-74.012045,11,2,2
395,716,1000005,1,40.702091,-74.012045,6,2,2
396,717,1000005,1,40.702091,-74.012045,13,2,1
397,718,1000005,1,40.702091,-74.012045,6,2,2
398,719,1000005,1,40.702091,-74.012045,6,2,2
399,720,1000005,1,40.702091,-74.012045,6,2,2
400,721,1000005,1,40.702091,-74.012045,6,2,2
401,722,1000005,1,40.702091,-74.012045,7,2,2
402,723,1000005,1,40.702091,-74.012045,3,2,2
403,724,1000005,1,40.702091,-74.012045,11,2,2
404,725,1000005,1,40.702091,-74.012045,6,2,2
405,726,1000005,1,40.702091,-74.012045,6,2,2
406,727,1000005,1,40.702091,-74.012045,6,2,2
407,728,1000005,1,40.702091,-74.012045,6,2,2
408,729,1000005,1,40.702091,-74.012045,6,2,2
409,730,1000005,1,40.702091,-74.012045,13,2,1
410,731,1000005,1,40.702091,-74.012045,13,2,1
411,732,1000005,1,40.702091,-74.012045,13,4,1
412,733,1000005,1,40.702091,-74.012045,6,2,2
413,734,1000005,1,40.702091,-74.012045,11,2,2
414,735,1000005,1,40.702091,-74.012045,11,2,2
415,736,1000005,1,40.702091,-74.012045,11,2,2
416,737,1000005,1,40.702091,-74.012045,6,2,2
417,738,1000005,1,40.702091,-74.012045,13,2,1
418,739,1000005,1,40.702091,-74.012045,6,2,2
419,740,1000005,1,40.702091,-74.012045,6,2,2
420,741,1000005,1,40.702091,-74.012045,6,2,2
421,742,1000005,1,40.702091,-74.012045,6,3,2
422,743,1000005,1,40.702091,-74.012045,13,2,1
423,744,1000005,1,40.702091,-74.012045,11,2,2
424,745,1000005,1,40.702091,-74.012045,13,2,1
425,746,1000005,1,40.702091,-74.012045,11,2,2
426,747,1000005,1,40.702091,-74.012045,13,2,1
427,748,1000005,1,40.702091,-74.012045,11,2,2
428,749,1000005,1,40.702091,-74.012045,13,2,1
429,750,1000005,1,40.702091,-74.012045,13,2,1
430,751,1000005,136,40.702091,-74.012045,3,5,2
431,752,1000005,1,40.702091,-74.012045,12,2,2
432,753,1000005,1,40.702091,-74.012045,3,2,2
433,754,1000005,1,40.702091,-74.012045,6,2,2
434,755,1000005,1,40.702091,-74.012045,6,2,2
435,756,1000005,1,40.702091,-74.012045,6,2,2
436,757,1000005,1,40.702091,-74.012045,13,2,1
437,758,1000005,1,40.702091,-74.012045,13,2,1
438,759,1000005,1,40.702091,-74.012045,13,2,1
439,760,1000005,1,40.702091,-74.012045,13,2,1
440,761,1000005,1,40.702091,-74.012045,13,2,1
441,762,1000005,1,40.702091,-74.012045,13,2,1
442,763,1000005,1,40.702091,-74.012045,13,2,1
443,764,1000005,1,40.702091,-74.012045,13,2,1
444,765,1000005,1,40.702091,-74.012045,13,2,1
445,766,1000005,1,40.702091,-74.012045,13,2,1
446,767,1000005,1,40.702091,-74.012045,6,2,2
447,768,1000005,1,40.702091,-74.012045,6,2,3
448,769,1000005,1,40.702091,-74.012045,13,2,1
449,770,1000005,1,40.702091,-74.012045,13,2,1
450,771,1000005,1,40.702091,-74.012045,13,2,1
451,772,1000005,1,40.702091,-74.012045,13,2,1
452,773,1000005,1,40.702091,-74.012045,13,2,1
453,774,1000005,1,40.702091,-74.012045,4,2,2
454,775,1000005,1,40.702091,-74.012045,13,2,1
455,776,1000005,1,40.702091,-74.012045,6,2,3
456,777,1000005,1,40.702091,-74.012045,4,2,2
457,778,1000005,1,40.702091,-74.012045,3,2,2
458,779,1000005,1,40.702091,-74.012045,11,2,3
